ucc,label,published_ce_domain,candidate_dmi_node,node_resolution_status,ce_source,all_cu_expenditure,q1_expenditure,q2_expenditure,q3_expenditure,q4_expenditure,q5_expenditure,currently_in_canonical_ledger,omission_classification,concordance_status,requires_scope_adjudication,requires_pumd,requires_new_domain_audit,note
370110,Boys' coats and jackets,APPAREL,APPAREL,CANDIDATE_FROM_CE_DOMAIN,D,1435,297,110,251,230,546,false,OUTSIDE_M1_AUDIT_SCOPE,NAMED_BY_2024_CONCORDANCE,true,false,true,"Published and 2024-active, in a CE domain the Milestone-1 audit did not cover. No mapping, scope or provenance work has been done on it."
370125,Boys' shirts and sweaters,APPAREL,APPAREL,CANDIDATE_FROM_CE_DOMAIN,D,2797,405,187,437,519,1249,false,OUTSIDE_M1_AUDIT_SCOPE,NAMED_BY_2024_CONCORDANCE,true,false,true,"Published and 2024-active, in a CE domain the Milestone-1 audit did not cover. No mapping, scope or provenance work has been done on it."
370219,"Boy's underwear, hosiery, nightwear, and swimwear",APPAREL,APPAREL,CANDIDATE_FROM_CE_DOMAIN,D,3481,276,491,576,474,1665,false,OUTSIDE_M1_AUDIT_SCOPE,NAMED_BY_2024_CONCORDANCE,true,false,true,"Published and 2024-active, in a CE domain the Milestone-1 audit did not cover. No mapping, scope or provenance work has been done on it."
370220,Boys' accessories,APPAREL,APPAREL,CANDIDATE_FROM_CE_DOMAIN,D,1029,27,65,180,143,614,false,OUTSIDE_M1_AUDIT_SCOPE,NAMED_BY_2024_CONCORDANCE,true,false,true,"Published and 2024-active, in a CE domain the Milestone-1 audit did not cover. No mapping, scope or provenance work has been done on it."
370319,"Boy's suits, sportscoats, pants, and shorts",APPAREL,APPAREL,CANDIDATE_FROM_CE_DOMAIN,D,3085,307,268,408,597,1504,false,OUTSIDE_M1_AUDIT_SCOPE,NAMED_BY_2024_CONCORDANCE,true,false,true,"Published and 2024-active, in a CE domain the Milestone-1 audit did not cover. No mapping, scope or provenance work has been done on it."
370902,Boys' costumes,APPAREL,APPAREL,CANDIDATE_FROM_CE_DOMAIN,D,562,167,30,69,146,149,false,OUTSIDE_M1_AUDIT_SCOPE,NAMED_BY_2024_CONCORDANCE,true,false,true,"Published and 2024-active, in a CE domain the Milestone-1 audit did not cover. No mapping, scope or provenance work has been done on it."
370903,Boys' uniforms,APPAREL,APPAREL,CANDIDATE_FROM_CE_DOMAIN,D,107,15,,19,19,54,false,OUTSIDE_M1_AUDIT_SCOPE,NAMED_BY_2024_CONCORDANCE,true,false,true,"Published and 2024-active, in a CE domain the Milestone-1 audit did not cover. No mapping, scope or provenance work has been done on it."
380110,Women's coats and jackets,APPAREL,APPAREL,CANDIDATE_FROM_CE_DOMAIN,D,6629,1542,956,847,1268,2015,false,OUTSIDE_M1_AUDIT_SCOPE,NAMED_BY_2024_CONCORDANCE,true,false,true,"Published and 2024-active, in a CE domain the Milestone-1 audit did not cover. No mapping, scope or provenance work has been done on it."
380210,Women's dresses,APPAREL,APPAREL,CANDIDATE_FROM_CE_DOMAIN,D,12513,1062,1041,2244,2548,5617,false,OUTSIDE_M1_AUDIT_SCOPE,NAMED_BY_2024_CONCORDANCE,true,false,true,"Published and 2024-active, in a CE domain the Milestone-1 audit did not cover. No mapping, scope or provenance work has been done on it."
380319,Women's tops,APPAREL,APPAREL,CANDIDATE_FROM_CE_DOMAIN,D,23432,2627,3137,4047,4781,8840,false,OUTSIDE_M1_AUDIT_SCOPE,NAMED_BY_2024_CONCORDANCE,true,false,true,"Published and 2024-active, in a CE domain the Milestone-1 audit did not cover. No mapping, scope or provenance work has been done on it."
380339,"Women's skirts, pants, and shorts",APPAREL,APPAREL,CANDIDATE_FROM_CE_DOMAIN,D,16129,1896,2435,2783,3875,5140,false,OUTSIDE_M1_AUDIT_SCOPE,NAMED_BY_2024_CONCORDANCE,true,false,true,"Published and 2024-active, in a CE domain the Milestone-1 audit did not cover. No mapping, scope or provenance work has been done on it."
380429,"Women's undergarments, nightwear, and swimwear",APPAREL,APPAREL,CANDIDATE_FROM_CE_DOMAIN,D,9345,1047,1677,1531,1528,3562,false,OUTSIDE_M1_AUDIT_SCOPE,NAMED_BY_2024_CONCORDANCE,true,false,true,"Published and 2024-active, in a CE domain the Milestone-1 audit did not cover. No mapping, scope or provenance work has been done on it."
380430,Women's hosiery,APPAREL,APPAREL,CANDIDATE_FROM_CE_DOMAIN,D,2677,279,510,432,508,948,false,OUTSIDE_M1_AUDIT_SCOPE,NAMED_BY_2024_CONCORDANCE,true,false,true,"Published and 2024-active, in a CE domain the Milestone-1 audit did not cover. No mapping, scope or provenance work has been done on it."
380510,Women's suits,APPAREL,APPAREL,CANDIDATE_FROM_CE_DOMAIN,D,173,,55,,118,,false,OUTSIDE_M1_AUDIT_SCOPE,NAMED_BY_2024_CONCORDANCE,true,false,true,"Published and 2024-active, in a CE domain the Milestone-1 audit did not cover. No mapping, scope or provenance work has been done on it."
380901,Women's accessories,APPAREL,APPAREL,CANDIDATE_FROM_CE_DOMAIN,D,13106,1040,1780,2133,2608,5545,false,OUTSIDE_M1_AUDIT_SCOPE,NAMED_BY_2024_CONCORDANCE,true,false,true,"Published and 2024-active, in a CE domain the Milestone-1 audit did not cover. No mapping, scope or provenance work has been done on it."
380909,Women's costumes and uniforms,APPAREL,APPAREL,CANDIDATE_FROM_CE_DOMAIN,D,1502,87,167,1,230,1017,false,OUTSIDE_M1_AUDIT_SCOPE,NAMED_BY_2024_CONCORDANCE,true,false,true,"Published and 2024-active, in a CE domain the Milestone-1 audit did not cover. No mapping, scope or provenance work has been done on it."
390110,Girls' coats and jackets,APPAREL,APPAREL,CANDIDATE_FROM_CE_DOMAIN,D,883,121,109,180,63,409,false,OUTSIDE_M1_AUDIT_SCOPE,NAMED_BY_2024_CONCORDANCE,true,false,true,"Published and 2024-active, in a CE domain the Milestone-1 audit did not cover. No mapping, scope or provenance work has been done on it."
390120,Girls' dresses and suits,APPAREL,APPAREL,CANDIDATE_FROM_CE_DOMAIN,D,1689,179,145,283,333,749,false,OUTSIDE_M1_AUDIT_SCOPE,NAMED_BY_2024_CONCORDANCE,true,false,true,"Published and 2024-active, in a CE domain the Milestone-1 audit did not cover. No mapping, scope or provenance work has been done on it."
390210,"Girls' shirts, blouses, sweaters, and vests",APPAREL,APPAREL,CANDIDATE_FROM_CE_DOMAIN,D,4529,399,537,942,1001,1650,false,OUTSIDE_M1_AUDIT_SCOPE,NAMED_BY_2024_CONCORDANCE,true,false,true,"Published and 2024-active, in a CE domain the Milestone-1 audit did not cover. No mapping, scope or provenance work has been done on it."
390223,"Girls' skirts, pants, and shorts",APPAREL,APPAREL,CANDIDATE_FROM_CE_DOMAIN,D,2832,441,393,420,619,960,false,OUTSIDE_M1_AUDIT_SCOPE,NAMED_BY_2024_CONCORDANCE,true,false,true,"Published and 2024-active, in a CE domain the Milestone-1 audit did not cover. No mapping, scope or provenance work has been done on it."
390319,"Girl's underwear, nightwear, hosiery, and swimwear",APPAREL,APPAREL,CANDIDATE_FROM_CE_DOMAIN,D,2625,414,329,277,517,1088,false,OUTSIDE_M1_AUDIT_SCOPE,NAMED_BY_2024_CONCORDANCE,true,false,true,"Published and 2024-active, in a CE domain the Milestone-1 audit did not cover. No mapping, scope or provenance work has been done on it."
390322,Girls' accessories,APPAREL,APPAREL,CANDIDATE_FROM_CE_DOMAIN,D,1712,78,262,535,297,541,false,OUTSIDE_M1_AUDIT_SCOPE,NAMED_BY_2024_CONCORDANCE,true,false,true,"Published and 2024-active, in a CE domain the Milestone-1 audit did not cover. No mapping, scope or provenance work has been done on it."
390901,Girls' uniforms,APPAREL,APPAREL,CANDIDATE_FROM_CE_DOMAIN,D,620,22,28,32,28,509,false,OUTSIDE_M1_AUDIT_SCOPE,NAMED_BY_2024_CONCORDANCE,true,false,true,"Published and 2024-active, in a CE domain the Milestone-1 audit did not cover. No mapping, scope or provenance work has been done on it."
390902,Girls' costumes,APPAREL,APPAREL,CANDIDATE_FROM_CE_DOMAIN,D,236,40,6,,63,126,false,OUTSIDE_M1_AUDIT_SCOPE,NAMED_BY_2024_CONCORDANCE,true,false,true,"Published and 2024-active, in a CE domain the Milestone-1 audit did not cover. No mapping, scope or provenance work has been done on it."
400110,Men's footwear,APPAREL,APPAREL,CANDIDATE_FROM_CE_DOMAIN,D,20829,3107,2354,3927,4087,7354,false,OUTSIDE_M1_AUDIT_SCOPE,NAMED_BY_2024_CONCORDANCE,true,false,true,"Published and 2024-active, in a CE domain the Milestone-1 audit did not cover. No mapping, scope or provenance work has been done on it."
400210,Boys' footwear,APPAREL,APPAREL,CANDIDATE_FROM_CE_DOMAIN,D,7460,1097,525,1281,1710,2848,false,OUTSIDE_M1_AUDIT_SCOPE,NAMED_BY_2024_CONCORDANCE,true,false,true,"Published and 2024-active, in a CE domain the Milestone-1 audit did not cover. No mapping, scope or provenance work has been done on it."
400220,Girls' footwear,APPAREL,APPAREL,CANDIDATE_FROM_CE_DOMAIN,D,5737,970,418,1295,1058,1996,false,OUTSIDE_M1_AUDIT_SCOPE,NAMED_BY_2024_CONCORDANCE,true,false,true,"Published and 2024-active, in a CE domain the Milestone-1 audit did not cover. No mapping, scope or provenance work has been done on it."
400310,Women's footwear,APPAREL,APPAREL,CANDIDATE_FROM_CE_DOMAIN,D,28375,2983,4798,4722,5314,10558,false,OUTSIDE_M1_AUDIT_SCOPE,NAMED_BY_2024_CONCORDANCE,true,false,true,"Published and 2024-active, in a CE domain the Milestone-1 audit did not cover. No mapping, scope or provenance work has been done on it."
410119,"Infant's and toddler's outerwear, dresses, nightwear, and accessories",APPAREL,APPAREL,CANDIDATE_FROM_CE_DOMAIN,D,3629,201,570,343,1101,1413,false,OUTSIDE_M1_AUDIT_SCOPE,NAMED_BY_2024_CONCORDANCE,true,false,true,"Published and 2024-active, in a CE domain the Milestone-1 audit did not cover. No mapping, scope or provenance work has been done on it."
410130,Infant underwear,APPAREL,APPAREL,CANDIDATE_FROM_CE_DOMAIN,D,6834,360,894,1027,1873,2680,false,OUTSIDE_M1_AUDIT_SCOPE,NAMED_BY_2024_CONCORDANCE,true,false,true,"Published and 2024-active, in a CE domain the Milestone-1 audit did not cover. No mapping, scope or provenance work has been done on it."
420115,"Material and supplies for sewing, needlework, and quilting (includes household items)",APPAREL,APPAREL,CANDIDATE_FROM_CE_DOMAIN,I,4061,423,767,776,973,1123,false,OUTSIDE_M1_AUDIT_SCOPE,NAMED_BY_2024_CONCORDANCE,true,false,true,"Published and 2024-active, in a CE domain the Milestone-1 audit did not cover. No mapping, scope or provenance work has been done on it."
430110,Watches,APPAREL,APPAREL,CANDIDATE_FROM_CE_DOMAIN,I,3507,109,141,359,379,2520,false,OUTSIDE_M1_AUDIT_SCOPE,NAMED_BY_2024_CONCORDANCE,true,false,true,"Published and 2024-active, in a CE domain the Milestone-1 audit did not cover. No mapping, scope or provenance work has been done on it."
430120,Jewelry,APPAREL,APPAREL,CANDIDATE_FROM_CE_DOMAIN,I,12185,629,1058,1789,2949,5759,false,OUTSIDE_M1_AUDIT_SCOPE,NAMED_BY_2024_CONCORDANCE,true,false,true,"Published and 2024-active, in a CE domain the Milestone-1 audit did not cover. No mapping, scope or provenance work has been done on it."
440110,Shoe repair and other shoe services,APPAREL,APPAREL,CANDIDATE_FROM_CE_DOMAIN,I,271,33,51,47,58,83,false,OUTSIDE_M1_AUDIT_SCOPE,NAMED_BY_2024_CONCORDANCE,true,false,true,"Published and 2024-active, in a CE domain the Milestone-1 audit did not cover. No mapping, scope or provenance work has been done on it."
440120,Coin-operated apparel laundry and dry cleaning,APPAREL,APPAREL,CANDIDATE_FROM_CE_DOMAIN,I,6612,2074,1705,1389,942,502,false,OUTSIDE_M1_AUDIT_SCOPE,NAMED_BY_2024_CONCORDANCE,true,false,true,"Published and 2024-active, in a CE domain the Milestone-1 audit did not cover. No mapping, scope or provenance work has been done on it."
440130,"Alteration, repair, and tailoring of apparel and accessories",APPAREL,APPAREL,CANDIDATE_FROM_CE_DOMAIN,I,854,79,82,124,177,392,false,OUTSIDE_M1_AUDIT_SCOPE,NAMED_BY_2024_CONCORDANCE,true,false,true,"Published and 2024-active, in a CE domain the Milestone-1 audit did not cover. No mapping, scope or provenance work has been done on it."
440140,Clothing rental,APPAREL,APPAREL,CANDIDATE_FROM_CE_DOMAIN,I,543,35,52,115,160,181,false,OUTSIDE_M1_AUDIT_SCOPE,NAMED_BY_2024_CONCORDANCE,true,false,true,"Published and 2024-active, in a CE domain the Milestone-1 audit did not cover. No mapping, scope or provenance work has been done on it."
440150,Watch and jewelry repair,APPAREL,APPAREL,CANDIDATE_FROM_CE_DOMAIN,I,928,85,164,60,128,491,false,OUTSIDE_M1_AUDIT_SCOPE,NAMED_BY_2024_CONCORDANCE,true,false,true,"Published and 2024-active, in a CE domain the Milestone-1 audit did not cover. No mapping, scope or provenance work has been done on it."
440210,Apparel laundry and dry cleaning not coin-operated,APPAREL,APPAREL,CANDIDATE_FROM_CE_DOMAIN,I,5055,198,377,615,925,2940,false,OUTSIDE_M1_AUDIT_SCOPE,NAMED_BY_2024_CONCORDANCE,true,false,true,"Published and 2024-active, in a CE domain the Milestone-1 audit did not cover. No mapping, scope or provenance work has been done on it."
440900,Clothing storage,APPAREL,APPAREL,CANDIDATE_FROM_CE_DOMAIN,I,194,50,43,25,5,71,false,OUTSIDE_M1_AUDIT_SCOPE,NAMED_BY_2024_CONCORDANCE,true,false,true,"Published and 2024-active, in a CE domain the Milestone-1 audit did not cover. No mapping, scope or provenance work has been done on it."
520901,Docking and landing fees,ENTRTAIN,RECREATION,CANDIDATE_FROM_CE_DOMAIN,I,2255,43,59,94,167,1891,false,OUTSIDE_M1_AUDIT_SCOPE,NAMED_BY_2024_CONCORDANCE,true,false,true,"Published and 2024-active, in a CE domain the Milestone-1 audit did not cover. No mapping, scope or provenance work has been done on it."
520904,Rental noncamper trailers,ENTRTAIN,RECREATION,CANDIDATE_FROM_CE_DOMAIN,I,0,,,,,0,false,OUTSIDE_M1_AUDIT_SCOPE,NAMED_BY_2024_CONCORDANCE,true,false,true,"Published and 2024-active, in a CE domain the Milestone-1 audit did not cover. No mapping, scope or provenance work has been done on it."
520907,Boat and trailer rentals on out of town trips,ENTRTAIN,RECREATION,CANDIDATE_FROM_CE_DOMAIN,I,3,,,,,3,false,OUTSIDE_M1_AUDIT_SCOPE,NAMED_BY_2024_CONCORDANCE,true,false,true,"Published and 2024-active, in a CE domain the Milestone-1 audit did not cover. No mapping, scope or provenance work has been done on it."
540000,Prescription drugs,HEALTH,MEDICAL_CARE,CANDIDATE_FROM_CE_DOMAIN,I,51690,5913,10039,9546,10584,15607,false,OUTSIDE_M1_AUDIT_SCOPE,NAMED_BY_2024_CONCORDANCE,true,false,true,"Published and 2024-active, in a CE domain the Milestone-1 audit did not cover. No mapping, scope or provenance work has been done on it."
550110,Eyeglasses and contact lenses,HEALTH,MEDICAL_CARE,CANDIDATE_FROM_CE_DOMAIN,I,14961,1226,1833,2424,3967,5512,false,OUTSIDE_M1_AUDIT_SCOPE,NAMED_BY_2024_CONCORDANCE,true,false,true,"Published and 2024-active, in a CE domain the Milestone-1 audit did not cover. No mapping, scope or provenance work has been done on it."
550210,Nonprescription drugs,HEALTH,MEDICAL_CARE,CANDIDATE_FROM_CE_DOMAIN,D,19309,2759,3580,3230,4479,5260,false,OUTSIDE_M1_AUDIT_SCOPE,NAMED_BY_2024_CONCORDANCE,true,false,true,"Published and 2024-active, in a CE domain the Milestone-1 audit did not cover. No mapping, scope or provenance work has been done on it."
