population,characteristics_code,subcategory_code,domain_label,ucc,item_text,display_level,series_id,aggregate_expenditure,mean_expenditure,rse,high_rse
All Consumer Units,01,FOODTOTL,Food,070230,Fresh fish and shellfish,4,CXU070230LB0101M,15959.0,118.0,4.94,false
All Consumer Units,01,FOODTOTL,Food,080110,Eggs,3,CXU080110LB0101M,14257.0,105.0,3.4,false
All Consumer Units,01,FOODTOTL,Food,090110,"Fresh milk, all types",4,CXU090110LB0101M,19108.0,141.0,2.05,false
All Consumer Units,01,FOODTOTL,Food,100119,Butter and margarine,2,CXU100119LB0101M,7149.0,53.0,4.03,false
All Consumer Units,01,FOODTOTL,Food,100210,Cheese,4,CXU100210LB0101M,27210.0,201.0,2.62,false
All Consumer Units,01,FOODTOTL,Food,100410,Ice cream and related products,4,CXU100410LB0101M,11824.0,87.0,3.72,false
All Consumer Units,01,FOODTOTL,Food,100519,Other dairy and related products,2,CXU100519LB0101M,20142.0,149.0,2.59,false
All Consumer Units,01,FOODTOTL,Food,110110,Apples,4,CXU110110LB0101M,7147.0,53.0,4.03,false
All Consumer Units,01,FOODTOTL,Food,110210,Bananas,4,CXU110210LB0101M,5803.0,43.0,3.23,false
All Consumer Units,01,FOODTOTL,Food,110319,Citrus fruits,2,CXU110319LB0101M,7935.0,59.0,3.44,false
All Consumer Units,01,FOODTOTL,Food,110410,Other fresh fruits,4,CXU110410LB0101M,32492.0,240.0,3.06,false
All Consumer Units,01,FOODTOTL,Food,120110,Potatoes,4,CXU120110LB0101M,6987.0,52.0,3.67,false
All Consumer Units,01,FOODTOTL,Food,120210,Lettuce,4,CXU120210LB0101M,4145.0,31.0,4.48,false
All Consumer Units,01,FOODTOTL,Food,120310,Tomatoes,4,CXU120310LB0101M,6524.0,48.0,3.95,false
All Consumer Units,01,FOODTOTL,Food,120410,Other fresh vegetables,4,CXU120410LB0101M,30357.0,224.0,2.92,false
All Consumer Units,01,FOODTOTL,Food,130119,Frozen noncarbonated juices and drinks,2,CXU130119LB0101M,409.0,3.0,14.17,false
All Consumer Units,01,FOODTOTL,Food,130129,Frozen fruits and vegetables,2,CXU130129LB0101M,8824.0,65.0,3.16,false
All Consumer Units,01,FOODTOTL,Food,140219,Canned fruits and vegetables,2,CXU140219LB0101M,9936.0,73.0,2.33,false
All Consumer Units,01,FOODTOTL,Food,140349,Dried fruits and vegetables,2,CXU140349LB0101M,8343.0,62.0,3.51,false
All Consumer Units,01,FOODTOTL,Food,150110,Candy and chewing gum,4,CXU150110LB0101M,21867.0,162.0,3.46,false
All Consumer Units,01,FOODTOTL,Food,150219,Sugar and artificial sweeteners,2,CXU150219LB0101M,3423.0,25.0,4.92,false
All Consumer Units,01,FOODTOTL,Food,150310,"Jams, preserves, and other sweets",4,CXU150310LB0101M,5812.0,43.0,3.99,false
All Consumer Units,01,FOODTOTL,Food,160211,Fats and oils,4,CXU160211LB0101M,7748.0,57.0,3.98,false
All Consumer Units,01,FOODTOTL,Food,160212,Salad dressings,4,CXU160212LB0101M,5485.0,41.0,4.07,false
All Consumer Units,01,FOODTOTL,Food,160320,Peanut butter,4,CXU160320LB0101M,3700.0,27.0,5.02,false
All Consumer Units,01,FOODTOTL,Food,170110,Cola,4,CXU170110LB0101M,12902.0,95.0,4.38,false
All Consumer Units,01,FOODTOTL,Food,170210,Other carbonated drinks,4,CXU170210LB0101M,20579.0,152.0,4.17,false
All Consumer Units,01,FOODTOTL,Food,170319,Coffee,2,CXU170319LB0101M,18521.0,137.0,3.28,false
All Consumer Units,01,FOODTOTL,Food,170520,Tea,4,CXU170520LB0101M,6913.0,51.0,3.63,false
All Consumer Units,01,FOODTOTL,Food,170531,Other noncarbonated beverages and ice,4,CXU170531LB0101M,2909.0,21.0,6.28,false
All Consumer Units,01,FOODTOTL,Food,170539,Nonfrozen noncarbonated juices and drinks,2,CXU170539LB0101M,34780.0,257.0,2.66,false
All Consumer Units,01,FOODTOTL,Food,180110,Canned and packaged soups,4,CXU180110LB0101M,8841.0,65.0,3.54,false
All Consumer Units,01,FOODTOTL,Food,180210,Frozen meals,5,CXU180210LB0101M,9085.0,67.0,6.91,false
All Consumer Units,01,FOODTOTL,Food,180220,Other frozen prepared foods,5,CXU180220LB0101M,22082.0,163.0,3.47,false
All Consumer Units,01,FOODTOTL,Food,180310,Potato chips and other snacks,5,CXU180310LB0101M,28925.0,214.0,2.52,false
All Consumer Units,01,FOODTOTL,Food,180320,Nuts,5,CXU180320LB0101M,9094.0,67.0,4.67,false
All Consumer Units,01,FOODTOTL,Food,180410,"Salt, spices, and other seasonings",5,CXU180410LB0101M,10089.0,75.0,2.68,false
All Consumer Units,01,FOODTOTL,Food,180420,"Olives, pickles, and relishes",5,CXU180420LB0101M,3009.0,22.0,3.66,false
All Consumer Units,01,FOODTOTL,Food,180510,Sauces and gravies,5,CXU180510LB0101M,13279.0,98.0,2.97,false
All Consumer Units,01,FOODTOTL,Food,180520,Baking needs and miscellaneous products,5,CXU180520LB0101M,6007.0,44.0,3.45,false
All Consumer Units,01,FOODTOTL,Food,180611,Prepared salads,5,CXU180611LB0101M,10108.0,75.0,3.55,false
All Consumer Units,01,FOODTOTL,Food,180612,Prepared desserts,5,CXU180612LB0101M,2272.0,17.0,9.53,false
All Consumer Units,01,FOODTOTL,Food,180620,Baby food,5,CXU180620LB0101M,5450.0,40.0,12.32,false
All Consumer Units,01,FOODTOTL,Food,180710,Miscellaneous prepared foods,5,CXU180710LB0101M,45533.0,336.0,2.83,false
All Consumer Units,01,FOODTOTL,Food,190400,Food and nonalcoholic beverages at fast food,2,CXU190400LB0101M,234196.0,1731.0,2.52,false
All Consumer Units,01,FOODTOTL,Food,190500,Food and nonalcoholic beverages at full service restaurants,2,CXU190500LB0101M,205911.0,1522.0,2.69,false
All Consumer Units,01,FOODTOTL,Food,190600,Food and nonalcoholic beverages at vending machines and mobile vendors,2,CXU190600LB0101M,4914.0,36.0,11.86,false
All Consumer Units,01,FOODTOTL,Food,190700,Food and nonalcoholic beverages at employer,2,CXU190700LB0101M,5900.0,44.0,9.3,false
All Consumer Units,01,FOODTOTL,Food,190902,Catered affairs,2,CXU190902LB0101M,6510.0,48.0,23.49,false
All Consumer Units,01,FOODTOTL,Food,190903,Food on out of town trips,2,CXU190903LB0101M,65028.0,479.0,2.85,false
All Consumer Units,01,FOODTOTL,Food,190904,Food prepared by consumer unit on out of town trips,3,CXU190904LB0101M,12770.0,94.0,4.88,false
All Consumer Units,01,FOODTOTL,Food,190905,School meals and board,2,CXU190905LB0101M,5452.0,40.0,9.54,false
All Consumer Units,01,FOODTOTL,Food,800700,Meals as pay,1,CXU800700LB0101M,6175.0,45.0,15.44,false
All Consumer Units,01,HOUSING,Housing,210110,Rent,3,CXU210110LB0101M,739923.0,5450.0,1.45,false
All Consumer Units,01,HOUSING,Housing,210210,Lodging on out of town trips,3,CXU210210LB0101M,122961.0,906.0,3.78,false
All Consumer Units,01,HOUSING,Housing,210310,Housing while attending school,3,CXU210310LB0101M,21689.0,160.0,13.55,false
All Consumer Units,01,HOUSING,Housing,210901,Ground rent,4,CXU210901LB0101M,10318.0,76.0,9.57,false
All Consumer Units,01,HOUSING,Housing,210902,Ground rent,5,CXU210902LB0101M,702.0,5.0,69.72,true
All Consumer Units,01,HOUSING,Housing,220121,Homeowners insurance,4,CXU220121LB0101M,100026.0,737.0,3.07,false
All Consumer Units,01,HOUSING,Housing,220122,Homeowners insurance,5,CXU220122LB0101M,1935.0,14.0,15.76,false
All Consumer Units,01,HOUSING,Housing,220211,Property taxes,3,CXU220211LB0101M,371669.0,2738.0,2.17,false
All Consumer Units,01,HOUSING,Housing,220212,Property taxes,4,CXU220212LB0101M,15769.0,116.0,9.05,false
All Consumer Units,01,HOUSING,Housing,220311,Mortgage interest,4,CXU220311LB0101M,471125.0,3470.0,2.25,false
All Consumer Units,01,HOUSING,Housing,220312,Mortgage interest,5,CXU220312LB0101M,9623.0,71.0,15.45,false
All Consumer Units,01,HOUSING,Housing,220313,"Interest paid, home equity loan",4,CXU220313LB0101M,6130.0,45.0,15.59,false
All Consumer Units,01,HOUSING,Housing,220314,"Interest paid, home equity loan",5,CXU220314LB0101M,4.0,,98.91,true
All Consumer Units,01,HOUSING,Housing,220901,Parking,4,CXU220901LB0101M,2256.0,17.0,9.87,false
All Consumer Units,01,HOUSING,Housing,220902,Parking,5,CXU220902LB0101M,410.0,3.0,28.21,true
All Consumer Units,01,HOUSING,Housing,230112,Painting and papering,5,CXU230112LB0101M,17098.0,126.0,18.91,false
All Consumer Units,01,HOUSING,Housing,230113,Plumbing and water heating,5,CXU230113LB0101M,24576.0,181.0,10.57,false
All Consumer Units,01,HOUSING,Housing,230114,"Heat, a/c, and electrical work",5,CXU230114LB0101M,60914.0,449.0,10.86,false
All Consumer Units,01,HOUSING,Housing,230115,Roofing and gutters,5,CXU230115LB0101M,50846.0,375.0,12.27,false
All Consumer Units,01,HOUSING,Housing,230117,"Dishwashers (built-in), garbage disposals, and range hoods (renter)",3,CXU230117LB0101M,153.0,1.0,53.4,true
All Consumer Units,01,HOUSING,Housing,230118,"Dishwashers (built-in), garbage disposals, and range hoods (owned home)",3,CXU230118LB0101M,4462.0,33.0,11.75,false
All Consumer Units,01,HOUSING,Housing,230141,Repair of built-in appliances,5,CXU230141LB0101M,0.0,,105.14,true
All Consumer Units,01,HOUSING,Housing,230142,Repair of built-in appliances,5,CXU230142LB0101M,40.0,,27.52,true
All Consumer Units,01,HOUSING,Housing,230143,"Home warranties, maintenance, repairs, or services contracts on household appliances (owner)",5,CXU230143LB0101M,2827.0,21.0,8.89,false
All Consumer Units,01,HOUSING,Housing,230144,"Home warranties, maintenance, repairs, or services contracts on household appliances (owner)",5,CXU230144LB0101M,146.0,1.0,37.39,true
All Consumer Units,01,HOUSING,Housing,230150,Repair or maintenance services,5,CXU230150LB0101M,7603.0,56.0,32.75,true
All Consumer Units,01,HOUSING,Housing,230151,Other repair and maintenance services,5,CXU230151LB0101M,62743.0,462.0,12.95,false
All Consumer Units,01,HOUSING,Housing,230152,Repair and remodeling services,6,CXU230152LB0101M,7151.0,53.0,47.04,true
All Consumer Units,01,HOUSING,Housing,230901,Property management,5,CXU230901LB0101M,17688.0,130.0,8.86,false
All Consumer Units,01,HOUSING,Housing,230902,Property management,6,CXU230902LB0101M,1665.0,12.0,14.53,false
All Consumer Units,01,HOUSING,Housing,240111,"Paint, wallpaper, and supplies",5,CXU240111LB0101M,641.0,5.0,38.29,true
All Consumer Units,01,HOUSING,Housing,240112,"Paints, wallpaper, and supplies",5,CXU240112LB0101M,5248.0,39.0,13.61,false
All Consumer Units,01,HOUSING,Housing,240113,"Paints, wallpaper, and supplies",6,CXU240113LB0101M,87.0,1.0,63.69,true
All Consumer Units,01,HOUSING,Housing,240121,Tools and equipment for painting and wallpapering,5,CXU240121LB0101M,69.0,1.0,38.27,true
All Consumer Units,01,HOUSING,Housing,240122,Tools and equipment for painting and wallpapering,5,CXU240122LB0101M,564.0,4.0,13.6,false
All Consumer Units,01,HOUSING,Housing,240123,Tools and equipment for painting and wallpapering,6,CXU240123LB0101M,9.0,,63.69,true
All Consumer Units,01,HOUSING,Housing,240211,"Materials for plastering, panels, roofing, and gutters, etc.",5,CXU240211LB0101M,164.0,1.0,33.29,true
All Consumer Units,01,HOUSING,Housing,240212,"Materials for plaster, panel, siding, windows, doors, screens, and awnings",5,CXU240212LB0101M,6634.0,49.0,27.69,true
All Consumer Units,01,HOUSING,Housing,240213,Materials and equipment for roofs and gutters,5,CXU240213LB0101M,3440.0,25.0,22.27,false
All Consumer Units,01,HOUSING,Housing,240214,"Materials for plastering, paneling, roofing, gutters, downspouts, siding, windows, doors, screens, and awnings",6,CXU240214LB0101M,129.0,1.0,45.12,true
All Consumer Units,01,HOUSING,Housing,240221,"Materials for patio, walk, fence, driveway, masonry, brick and stucco work",5,CXU240221LB0101M,14.0,,36.43,true
All Consumer Units,01,HOUSING,Housing,240222,"Materials for patio, walk, fence, driveway, masonry, brick, and stucco work",5,CXU240222LB0101M,540.0,4.0,17.06,false
All Consumer Units,01,HOUSING,Housing,240223,"Material for patio, walk, fence, drive, masonry, brick, and stucco",6,CXU240223LB0101M,9.0,,64.06,true
All Consumer Units,01,HOUSING,Housing,240311,Plumbing supplies and equipment,5,CXU240311LB0101M,297.0,2.0,53.31,true
All Consumer Units,01,HOUSING,Housing,240312,Plumbing supplies and equipment,5,CXU240312LB0101M,3224.0,24.0,12.52,false
All Consumer Units,01,HOUSING,Housing,240313,Plumbing supplies and equipment,6,CXU240313LB0101M,34.0,,60.62,true
All Consumer Units,01,HOUSING,Housing,240321,"Electrical supplies, heating, and cooling equipment",5,CXU240321LB0101M,55.0,,39.71,true
All Consumer Units,01,HOUSING,Housing,240322,"Electrical supplies, heating, and cooling equipment",5,CXU240322LB0101M,1394.0,10.0,13.83,false
All Consumer Units,01,HOUSING,Housing,240323,"Electrical supplies, heating, and cooling equipment",6,CXU240323LB0101M,6.0,,71.31,true
All Consumer Units,01,HOUSING,Housing,250111,Fuel oil (renter),4,CXU250111LB0101M,516.0,4.0,46.93,true
All Consumer Units,01,HOUSING,Housing,250112,Fuel oil (owned home),4,CXU250112LB0101M,7904.0,58.0,7.2,false
All Consumer Units,01,HOUSING,Housing,250113,Fuel oil (owned vacation),4,CXU250113LB0101M,50.0,,70.47,true
All Consumer Units,01,HOUSING,Housing,250114,Fuel oil (rented vacation),4,CXU250114LB0101M,,,,
All Consumer Units,01,HOUSING,Housing,250211,"Gas, bottled/tank (renter)",4,CXU250211LB0101M,412.0,3.0,21.45,false
All Consumer Units,01,HOUSING,Housing,250212,"Gas, bottled/tank (owned home)",4,CXU250212LB0101M,6177.0,45.0,12.25,false
All Consumer Units,01,HOUSING,Housing,250213,"Gas, bottled/tank (owned vacation)",4,CXU250213LB0101M,622.0,5.0,11.98,false
All Consumer Units,01,HOUSING,Housing,250214,"Gas, bottled/tank (rented vacation)",4,CXU250214LB0101M,,,,
All Consumer Units,01,HOUSING,Housing,250911,"Coal, wood, and other fuels (renter)",4,CXU250911LB0101M,38.0,,35.34,true
All Consumer Units,01,HOUSING,Housing,250912,"Coal, wood, and other fuels (owned home)",4,CXU250912LB0101M,1295.0,10.0,18.73,false
All Consumer Units,01,HOUSING,Housing,250913,"Coal, wood, and other fuels (owned vacation)",4,CXU250913LB0101M,,,,
All Consumer Units,01,HOUSING,Housing,250914,"Coal, wood, and other fuels (rented vacation)",4,CXU250914LB0101M,,,,
All Consumer Units,01,HOUSING,Housing,260111,Electricity (renter),3,CXU260111LB0101M,62285.0,459.0,2.96,false
All Consumer Units,01,HOUSING,Housing,260112,Electricity (owned home),3,CXU260112LB0101M,184485.0,1359.0,1.61,false
All Consumer Units,01,HOUSING,Housing,260113,Electricity (owned vacation),3,CXU260113LB0101M,1572.0,12.0,20.2,false
All Consumer Units,01,HOUSING,Housing,260114,Electricity (rented vacation),3,CXU260114LB0101M,491.0,4.0,16.94,false
All Consumer Units,01,HOUSING,Housing,260211,Natural gas (renter),3,CXU260211LB0101M,11854.0,87.0,4.41,false
All Consumer Units,01,HOUSING,Housing,260212,Natural gas (owned home),3,CXU260212LB0101M,54409.0,401.0,3.59,false
All Consumer Units,01,HOUSING,Housing,260213,Natural gas (owned vacation),3,CXU260213LB0101M,465.0,3.0,18.24,false
All Consumer Units,01,HOUSING,Housing,260214,Natural gas (rented vacation),3,CXU260214LB0101M,143.0,1.0,36.8,true
All Consumer Units,01,HOUSING,Housing,270102,Cellular phone service,3,CXU270102LB0101M,184551.0,1359.0,1.45,false
All Consumer Units,01,HOUSING,Housing,270104,Phone cards,4,CXU270104LB0101M,,,,
All Consumer Units,01,HOUSING,Housing,270106,Residential telephone including VOIP,4,CXU270106LB0101M,13615.0,100.0,4.24,false
All Consumer Units,01,HOUSING,Housing,270211,Water/sewer maintenance (renter),4,CXU270211LB0101M,12700.0,94.0,4.87,false
All Consumer Units,01,HOUSING,Housing,270212,Water/sewer maintenance (owned home),4,CXU270212LB0101M,62656.0,462.0,2.65,false
All Consumer Units,01,HOUSING,Housing,270213,Water/sewer maintenance (owned vacation),4,CXU270213LB0101M,483.0,4.0,16.08,false
All Consumer Units,01,HOUSING,Housing,270214,Water/sewer maintenance (rented vacation),4,CXU270214LB0101M,116.0,1.0,30.65,true
All Consumer Units,01,HOUSING,Housing,270411,Trash/garbage collection (renter),4,CXU270411LB0101M,3434.0,25.0,5.26,false
All Consumer Units,01,HOUSING,Housing,270412,Trash/garbage collection (owned home),4,CXU270412LB0101M,30482.0,225.0,2.74,false
All Consumer Units,01,HOUSING,Housing,270413,Trash/garbage collection (owned vacation),4,CXU270413LB0101M,1027.0,8.0,17.24,false
All Consumer Units,01,HOUSING,Housing,270414,Trash/garbage collection (rented vacation),4,CXU270414LB0101M,65.0,,29.35,true
All Consumer Units,01,HOUSING,Housing,270901,Septic tank cleaning (renter),4,CXU270901LB0101M,,,,
All Consumer Units,01,HOUSING,Housing,270902,Septic tank cleaning (owned home),4,CXU270902LB0101M,33.0,,65.67,true
All Consumer Units,01,HOUSING,Housing,270903,Septic tank cleaning (owned vacation),4,CXU270903LB0101M,,,,
All Consumer Units,01,HOUSING,Housing,270904,Septic tank cleaning (rented vacation),4,CXU270904LB0101M,,,,
All Consumer Units,01,HOUSING,Housing,270906,Septic tank cleaning (renter),4,CXU270906LB0101M,31.0,,61.07,true
All Consumer Units,01,HOUSING,Housing,270907,Septic tank cleaning (owner),4,CXU270907LB0101M,1116.0,8.0,16.95,false
All Consumer Units,01,HOUSING,Housing,280110,Bathroom linens,3,CXU280110LB0101M,3345.0,25.0,9.98,false
All Consumer Units,01,HOUSING,Housing,280120,Bedroom linens,3,CXU280120LB0101M,8142.0,60.0,12.25,false
All Consumer Units,01,HOUSING,Housing,280140,"Kitchen, dining room, and other linens",3,CXU280140LB0101M,762.0,6.0,15.1,false
All Consumer Units,01,HOUSING,Housing,280210,Curtains and draperies,3,CXU280210LB0101M,1407.0,10.0,11.91,false
All Consumer Units,01,HOUSING,Housing,280220,Slipcovers and decorative pillows,3,CXU280220LB0101M,774.0,6.0,10.26,false
All Consumer Units,01,HOUSING,Housing,290110,Mattresses and springs,3,CXU290110LB0101M,15453.0,114.0,11.32,false
All Consumer Units,01,HOUSING,Housing,290120,Other bedroom furniture,3,CXU290120LB0101M,16182.0,119.0,10.59,false
All Consumer Units,01,HOUSING,Housing,290210,Sofas,3,CXU290210LB0101M,26523.0,195.0,6.95,false
All Consumer Units,01,HOUSING,Housing,290310,Living room chairs,3,CXU290310LB0101M,7976.0,59.0,9.5,false
All Consumer Units,01,HOUSING,Housing,290320,Living room tables,3,CXU290320LB0101M,2387.0,18.0,11.11,false
All Consumer Units,01,HOUSING,Housing,290410,Kitchen and dining room furniture,3,CXU290410LB0101M,5349.0,39.0,15.0,false
All Consumer Units,01,HOUSING,Housing,290420,Infants' furniture,3,CXU290420LB0101M,1540.0,11.0,15.46,false
All Consumer Units,01,HOUSING,Housing,290430,Outdoor furniture,3,CXU290430LB0101M,6369.0,47.0,10.51,false
All Consumer Units,01,HOUSING,Housing,290440,"Wall units, cabinets, and other furniture",3,CXU290440LB0101M,6226.0,46.0,13.58,false
All Consumer Units,01,HOUSING,Housing,300111,Refrigerators and freezers (renter),3,CXU300111LB0101M,1571.0,12.0,20.45,false
All Consumer Units,01,HOUSING,Housing,300112,Refrigerators and freezers (owned home),3,CXU300112LB0101M,14286.0,105.0,7.34,false
All Consumer Units,01,HOUSING,Housing,300216,Clothes washers or dryers (renter),3,CXU300216LB0101M,1779.0,13.0,14.54,false
All Consumer Units,01,HOUSING,Housing,300217,Clothes washers or dryers (owned home),3,CXU300217LB0101M,11610.0,86.0,9.37,false
All Consumer Units,01,HOUSING,Housing,300311,Cooking stoves and ovens (renter),3,CXU300311LB0101M,405.0,3.0,47.37,true
All Consumer Units,01,HOUSING,Housing,300312,Cooking stoves and ovens (owned home),3,CXU300312LB0101M,8210.0,60.0,10.73,false
All Consumer Units,01,HOUSING,Housing,300321,Microwave ovens (renter),3,CXU300321LB0101M,517.0,4.0,15.78,false
All Consumer Units,01,HOUSING,Housing,300322,Microwave ovens (owned home),3,CXU300322LB0101M,2306.0,17.0,8.14,false
All Consumer Units,01,HOUSING,Housing,300331,Portable dishwashers (renter),3,CXU300331LB0101M,34.0,,76.07,true
All Consumer Units,01,HOUSING,Housing,300332,Portable dishwashers (owned home),3,CXU300332LB0101M,60.0,,44.63,true
All Consumer Units,01,HOUSING,Housing,300411,Window air conditioners (renter),3,CXU300411LB0101M,423.0,3.0,22.72,false
All Consumer Units,01,HOUSING,Housing,300412,Window air conditioners (owned home),3,CXU300412LB0101M,689.0,5.0,18.34,false
All Consumer Units,01,HOUSING,Housing,300900,Miscellaneous household appliances,3,CXU300900LB0101M,1378.0,10.0,34.95,true
All Consumer Units,01,HOUSING,Housing,320111,"Floor coverings, nonpermanent",3,CXU320111LB0101M,4105.0,30.0,10.49,false
All Consumer Units,01,HOUSING,Housing,320120,Window coverings,3,CXU320120LB0101M,3455.0,25.0,18.03,false
All Consumer Units,01,HOUSING,Housing,320130,Infants' equipment,3,CXU320130LB0101M,3822.0,28.0,24.1,false
All Consumer Units,01,HOUSING,Housing,320140,Laundry and cleaning equipment,3,CXU320140LB0101M,2942.0,22.0,7.3,false
All Consumer Units,01,HOUSING,Housing,320150,Outdoor equipment,3,CXU320150LB0101M,3108.0,23.0,17.11,false
All Consumer Units,01,HOUSING,Housing,320221,"Lamps, lighting fixtures, and ceiling fans",3,CXU320221LB0101M,5238.0,39.0,21.04,false
All Consumer Units,01,HOUSING,Housing,320232,Telephones and accessories,3,CXU320232LB0101M,15357.0,113.0,6.03,false
All Consumer Units,01,HOUSING,Housing,320233,Clocks and other household decorative items,3,CXU320233LB0101M,28964.0,214.0,15.34,false
All Consumer Units,01,HOUSING,Housing,320330,Flatware,4,CXU320330LB0101M,1318.0,10.0,37.0,true
All Consumer Units,01,HOUSING,Housing,320345,"Dinnerware, glassware, and serving pieces",4,CXU320345LB0101M,3855.0,28.0,10.23,false
All Consumer Units,01,HOUSING,Housing,320370,Nonelectric cookware,4,CXU320370LB0101M,4380.0,32.0,24.41,false
All Consumer Units,01,HOUSING,Housing,320380,Tableware and nonelectric kitchenware,4,CXU320380LB0101M,3837.0,28.0,11.02,false
All Consumer Units,01,HOUSING,Housing,320410,Lawn and garden equipment,3,CXU320410LB0101M,7206.0,53.0,21.07,false
All Consumer Units,01,HOUSING,Housing,320420,Power tools,3,CXU320420LB0101M,4811.0,35.0,15.36,false
All Consumer Units,01,HOUSING,Housing,320430,Other hardware,3,CXU320430LB0101M,3998.0,30.0,35.65,true
All Consumer Units,01,HOUSING,Housing,320511,Electric floor cleaning equipment,3,CXU320511LB0101M,3722.0,27.0,7.1,false
All Consumer Units,01,HOUSING,Housing,320512,Sewing machines,3,CXU320512LB0101M,671.0,5.0,33.8,true
All Consumer Units,01,HOUSING,Housing,320521,Small electric kitchen appliances,4,CXU320521LB0101M,5989.0,44.0,4.24,false
All Consumer Units,01,HOUSING,Housing,320522,Portable heating and cooling equipment,4,CXU320522LB0101M,1613.0,12.0,18.02,false
All Consumer Units,01,HOUSING,Housing,320611,"Material for insulation, other maintenance, and repair",6,CXU320611LB0101M,1349.0,10.0,36.83,true
All Consumer Units,01,HOUSING,Housing,320612,"Material for insulation, other maintenance, and repair",6,CXU320612LB0101M,7654.0,56.0,11.8,false
All Consumer Units,01,HOUSING,Housing,320613,"Material for insulation, other maintenance, and repair",7,CXU320613LB0101M,67.0,,66.57,true
